Name of car,Company name,Year,Price,Kms driven,Fuel_type,Age
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel,6
Mahindra Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel,4
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.0,35522.0,Diesel,7
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508.0,Diesel,6
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000.0,15487.0,Petrol,4
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000.0,39000.0,Petrol,8
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000.0,39000.0,Petrol,8
Mahindra Scorpio S10,Mahindra,2015,395000.0,35000.0,Diesel,6
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000.0,30874.0,Petrol,4
Honda City ZX CVT,Honda,2017,170000.0,15000.0,Diesel,4
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000.0,29685.0,Petrol,8
Ford Figo,Ford,2012,175000.0,41000.0,Diesel,9
Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol,8
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel,4
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530.0,Diesel,5
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel,4
Mahindra Scorpio SLE BS IV,Mahindra,2012,570000.0,19000.0,Diesel,9
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000.0,Petrol,7
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000.0,Petrol,11
Maruti Suzuki Stingray VXi,Maruti,2015,315000.0,30000.0,Petrol,6
Chevrolet Spark LS 1.0,Chevrolet,2010,110000.0,41000.0,Petrol,11
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel,9
Honda City,Honda,2015,448999.0,54000.0,Petrol,6
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,8
Datsun Redi GO S,Datsun,2017,235000.0,16000.0,Petrol,4
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel,10
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,6
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,6
Renault Duster,Renault,2014,449999.0,50000.0,Diesel,7
Mini Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol,8
Mahindra Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel,6
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel,7
Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel,8
Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol,4
Honda Brio,Honda,2012,224999.0,30000.0,Petrol,9
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000.0,3600.0,Diesel,2
Hyundai i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol,12
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000.0,Diesel,11
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000.0,45000.0,Petrol,13
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000.0,Petrol,12
Honda City 1.5 EXi New,Honda,2005,90000.0,50000.0,Petrol,16
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000.0,Petrol,7
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,155000.0,45863.0,Diesel,10
BMW 3 Series 320i,BMW,2011,600000.0,60500.0,Petrol,10
Maruti Suzuki A Star Lxi,Maruti,2011,189500.0,12500.0,Petrol,10
Toyota Etios GD,Toyota,2013,350000.0,60000.0,Diesel,8
Ford Figo Diesel EXI Option,Ford,2012,210000.0,35000.0,Diesel,9
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000.0,35000.0,Petrol,7
Chevrolet Beat LT Diesel,Chevrolet,2012,135000.0,45000.0,Diesel,9
BMW 7 Series 740Li Sedan,BMW,2009,1600000.0,35000.0,Petrol,12
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000.0,Diesel,8
Hyundai i10 Magna 1.2,Hyundai,2014,265000.0,18000.0,Petrol,7
Hyundai Verna Fluidic New,Hyundai,2015,525000.0,35000.0,Diesel,6
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol,8
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000.0,29000.0,Petrol,5
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,550000.0,44000.0,Diesel,7
Maruti Suzuki Ertiga Vxi,Maruti,2016,575000.0,29000.0,Petrol,5
Maruti Suzuki Ertiga VDi,Maruti,2013,485000.0,42000.0,Diesel,8
Maruti Suzuki Alto LXi BS III,Maruti,2012,155000.0,14000.0,Petrol,9
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000.0,49000.0,Diesel,7
Honda Amaze 1.2 S i VTEC,Honda,2014,325000.0,42000.0,Petrol,7
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel,9
Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel,7
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol,6
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol,7
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol,14
Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol,7
Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol,12
Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel,8
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol,8
Maruti Suzuki Dzire VDI,Maruti,2015,450000.0,104000.0,Diesel,6
Toyota Etios Liva G,Toyota,2014,270000.0,55000.0,Petrol,7
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000.0,33333.0,Diesel,10
Chevrolet Spark,Chevrolet,2012,158400.0,33600.0,Petrol,9
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000.0,5600.0,Petrol,4
Nissan Micra XV,Nissan,2011,179000.0,41000.0,Petrol,10
Maruti Suzuki Swift,Maruti,2007,125000.0,70000.0,Petrol,14
Maruti Suzuki Alto 800,Maruti,2018,200000.0,7500.0,Petrol,3
Honda Amaze 1.5 S i DTEC,Honda,2013,299000.0,45000.0,Diesel,8
Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000.0,38000.0,Petrol,6
Chevrolet Beat,Chevrolet,2015,150000.0,30000.0,Petrol,6
Honda City 1.5 V MT,Honda,2010,285000.0,35000.0,Petrol,11
Ford EcoSport Trend 1.5L TDCi,Ford,2016,830000.0,24330.0,Diesel,5
Hyundai i20 Asta 1.2,Hyundai,2009,210000.0,65480.0,Petrol,12
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000.0,41000.0,Petrol,8
Tata Indica V2 eLS,Tata,2006,90000.0,20000.0,Petrol,15
Hindustan Motors Ambassador,Hindustan,2000,70000.0,200000.0,Diesel,21
Toyota Corolla Altis 1.8 GL,Toyota,2010,289999.0,70000.0,Petrol,11
Toyota Corolla Altis 1.8 J,Toyota,2012,349999.0,59000.0,Petrol,9
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999.0,99000.0,Diesel,9
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000.0,Diesel,7
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,399999.0,2800.0,Petrol,6
Volkswagen Polo,Volkswagen,2014,274999.0,32000.0,Petrol,7
Mahindra Scorpio,Mahindra,2015,984999.0,22000.0,Diesel,6
Renault Duster,Renault,2014,449999.0,50000.0,Diesel,7
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,6
Nissan Sunny,Nissan,2012,224999.0,45000.0,Petrol,9
Hyundai Elite i20,Hyundai,2018,599999.0,21000.0,Petrol,3
Renault Kwid,Renault,2016,244999.0,11000.0,Petrol,5
Renault Duster,Renault,2013,399999.0,41000.0,Diesel,8
Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol,4
Renault Duster,Renault,2014,474999.0,50000.0,Diesel,7
Mahindra Scorpio VLX Airbag,Mahindra,2011,499999.0,66000.0,Diesel,10
Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000.0,3000.0,Petrol,3
Chevrolet Spark LT 1.0,Chevrolet,2010,85000.0,45000.0,Petrol,11
Datsun Redi GO T O,Datsun,2016,245000.0,7000.0,Petrol,5
Maruti Suzuki Swift RS VDI,Maruti,2010,189500.0,38500.0,Diesel,11
Fiat Punto Emotion 1.2,Fiat,2012,169500.0,37200.0,Diesel,9
Maruti Suzuki Swift RS VDI,Maruti,2010,159500.0,43200.0,Diesel,11
Toyota Etios GD,Toyota,2013,275000.0,24800.0,Petrol,8
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000.0,60000.0,Diesel,7
Hyundai i10 Sportz 1.2,Hyundai,2010,168000.0,45872.0,Petrol,11
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000.0,Diesel,10
Chevrolet Beat LS Diesel,Chevrolet,2011,145000.0,45000.0,Diesel,10
Chevrolet Beat LT Diesel,Chevrolet,2012,98500.0,38000.0,Diesel,9
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel,7
Tata Indigo CS,Tata,2011,85000.0,11400.0,Diesel,10
Toyota Corolla Altis 1.8 J,Toyota,2015,575000.0,42000.0,Petrol,6
Honda City 1.5 V MT,Honda,2014,549000.0,39000.0,Petrol,7
Maruti Suzuki Swift VDi,Maruti,2011,209000.0,47000.0,Diesel,10
Hyundai Eon Era Plus,Hyundai,2013,185000.0,27000.0,Petrol,8
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,6
Mahindra XUV500,Mahindra,2014,699999.0,52000.0,Diesel,7
Honda Brio,Honda,2012,224999.0,30000.0,Petrol,9
Ford Fiesta,Ford,2011,274999.0,55000.0,Diesel,10
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel,8
Honda City,Honda,2015,599999.0,30000.0,Diesel,6
Maruti Suzuki Wagon R,Maruti,2012,199999.0,44000.0,Petrol,9
Honda City,Honda,2014,544999.0,45000.0,Diesel,7
Hyundai i20,Hyundai,2009,199000.0,31000.0,Petrol,12
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel,5
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel,6
Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel,8
Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol,13
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel,10
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,8
Hyundai Santro Xing XS,Hyundai,2005,49000.0,7500.0,Petrol,16
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000.0,3350.0,Petrol,5
Maruti Suzuki Zen VX,Maruti,2000,55000.0,60000.0,Petrol,21
Honda City,Honda,2015,448999.0,54000.0,Petrol,6
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000.0,32000.0,Petrol,4
Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel,14
Mahindra Scorpio SLE BS IV,Mahindra,2012,565000.0,62000.0,Diesel,9
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000.0,73000.0,Diesel,15
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000.0,41000.0,Petrol,10
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000.0,35000.0,Petrol,10
Tata Nano Cx BSIV,Tata,2013,40000.0,2200.0,Petrol,8
Maruti Suzuki Alto Std BS IV,Maruti,2013,125000.0,39000.0,Petrol,8
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000.0,45000.0,Petrol,12
Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000.0,45000.0,Petrol,15
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000.0,Diesel,9
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000.0,54870.0,Petrol,11
Maruti Suzuki Alto LXi BS III,Maruti,2010,135000.0,34580.0,Petrol,11
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000.0,Diesel,12
Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel,6
Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel,8
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol,7
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol,6
Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel,9
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000.0,60.0,Diesel,2
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel,9
Mahindra Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel,8
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel,6
Maruti Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel,9
Mahindra Jeep CL550 MDI,Mahindra,2019,379000.0,0.0,Diesel,2
Maruti Suzuki Alto 800,Maruti,2015,219000.0,5000.0,Petrol,6
Mahindra Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel,3
Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel,10
Volkswagen Polo,Volkswagen,2015,330000.0,38000.0,Diesel,6
Honda City ZX VTEC,Honda,2008,110000.0,45000.0,Petrol,13
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000.0,71200.0,Petrol,15
Honda City VX O MT Diesel,Honda,2016,519000.0,52000.0,Diesel,5
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000.0,Diesel,5
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel,6
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol,12
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000.0,20000.0,Diesel,6
Land Rover Freelander 2 SE,Land,2015,2100000.0,30000.0,Diesel,6
Renault Kwid RXT,Renault,2017,340000.0,5000.0,Petrol,4
Tata Aria Pleasure 4X2,Tata,2014,390000.0,35000.0,Diesel,7
Mercedes Benz B Class B180 Sports,Mercedes,2014,1400000.0,31000.0,Petrol,7
Datsun GO T O,Datsun,2016,245000.0,7000.0,Petrol,5
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel,5
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175400.0,Diesel,5
Honda Jazz VX MT,Honda,2016,450000.0,41000.0,Petrol,5
Honda Amaze 1.2 S i VTEC,Honda,2014,311000.0,33000.0,Petrol,7
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel,8
Honda City,Honda,2012,399999.0,45000.0,Petrol,9
Honda City,Honda,2015,599999.0,39000.0,Diesel,6
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,6
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol,12
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel,6
Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel,6
Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000.0,37000.0,Diesel,6
Mini Cooper S,Mini,2013,1891111.0,13000.0,Petrol,8
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000.0,14000.0,Petrol,4
Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel,8
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel,8
Hyundai Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol,9
Tata Sumo Gold Select Variant,Tata,2013,300000.0,50000.0,Diesel,8
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000.0,45000.0,Petrol,18
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000.0,45000.0,Petrol,15
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000.0,9300.0,Petrol,6
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000.0,55000.0,Diesel,8
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel,9
Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel,7
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol,6
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol,7
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol,14
Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol,7
Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol,12
Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel,8
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000.0,Petrol,11
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999.0,22000.0,Petrol,6
Mini Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol,8
Nissan Terrano XL D Plus,Nissan,2015,499999.0,60000.0,Diesel,6
Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000.0,Diesel,8
Renault Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000.0,Diesel,7
Renault Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000.0,Diesel,6
Maruti Suzuki Dzire ZXI,Maruti,2013,380000.0,30000.0,Petrol,8
Renault Kwid RXT Opt,Renault,2018,325000.0,15000.0,Petrol,3
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000.0,56758.0,Petrol,18
Renault Kwid 1.0 RXT AMT,Renault,2018,349999.0,10000.0,Petrol,3
Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel,3
Renault Scala RxL Diesel,Renault,2014,349999.0,49000.0,Diesel,7
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000.0,41000.0,Petrol,7
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000.0,45000.0,Petrol,10
Chevrolet Beat LS Petrol,Chevrolet,2010,120000.0,43000.0,Petrol,11
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel,5
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000.0,56450.0,Petrol,21
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel,6
Chevrolet Beat LS Petrol,Chevrolet,2010,80000.0,56000.0,Petrol,11
Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel,8
Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol,13
Chevrolet Beat LS Petrol,Chevrolet,2015,220000.0,32700.0,Petrol,6
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel,10
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000.0,30000.0,Diesel,5
Hyundai Accent GLX,Hyundai,2006,80000.0,56000.0,Petrol,15
Mahindra TUV300 T4 Plus,Mahindra,2016,675000.0,9000.0,Diesel,5
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,8
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,8
Tata Indica V2 Xeta e GLE,Tata,2008,150000.0,11000.0,Petrol,13
Mini Cooper S,Mini,2013,1891111.0,13000.0,Petrol,8
Tata Indigo CS LS DiCOR,Tata,2009,72500.0,46000.0,Diesel,12
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000.0,73.0,Petrol,2
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000.0,160000.0,Diesel,17
Honda Accord,Honda,2009,175000.0,58559.0,Petrol,12
Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel,6
Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel,8
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,520000.0,57000.0,Diesel,7
Maruti Suzuki Ertiga,Maruti,2015,524999.0,50000.0,Diesel,6
Honda Amaze,Honda,2014,299999.0,37000.0,Petrol,7
Maruti Suzuki Dzire,Maruti,2012,299999.0,40000.0,Petrol,9
Honda City,Honda,2011,284999.0,55000.0,Petrol,10
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,220000.0,170000.0,Diesel,14
Maruti Suzuki Dzire,Maruti,2014,424999.0,55000.0,Diesel,7
Honda City,Honda,2015,644999.0,39000.0,Petrol,6
Honda Mobilio,Honda,2014,399999.0,44000.0,Petrol,7
Toyota Corolla Altis,Toyota,2009,199999.0,65000.0,Petrol,12
Honda City,Honda,2014,584999.0,39000.0,Petrol,7
Skoda Laura,Skoda,2012,349999.0,44000.0,Diesel,9
Renault Duster,Renault,2015,449999.0,49000.0,Diesel,6
Maruti Suzuki Ertiga,Maruti,2018,799999.0,9000.0,Diesel,3
Maruti Suzuki Dzire,Maruti,2015,444999.0,45000.0,Diesel,6
Mahindra XUV500,Mahindra,2014,649999.0,47000.0,Diesel,7
Hyundai Verna Fluidic,Hyundai,2012,444999.0,40000.0,Diesel,9
Maruti Suzuki Vitara Brezza,Maruti,2016,689999.0,29000.0,Diesel,5
Maruti Suzuki Wagon R,Maruti,2016,344999.0,15000.0,Petrol,5
Mahindra Scorpio,Mahindra,2015,944999.0,45000.0,Diesel,6
Honda Amaze,Honda,2014,274999.0,35000.0,Petrol,7
Mahindra XUV500,Mahindra,2013,689999.0,80000.0,Diesel,8
Mahindra Scorpio,Mahindra,2013,574999.0,68000.0,Diesel,8
Skoda Laura,Skoda,2013,374999.0,50000.0,Diesel,8
Volkswagen Polo,Volkswagen,2010,199999.0,60000.0,Diesel,11
Hyundai Elite i20,Hyundai,2016,549999.0,9000.0,Petrol,5
Tata Manza Aura Quadrajet,Tata,2012,130000.0,72000.0,Diesel,9
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000.0,60000.0,Petrol,8
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000.0,38000.0,Diesel,9
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000.0,45000.0,Diesel,8
Audi A4 2.0 TDI 177bhp Premium,Audi,2012,1350000.0,40000.0,Diesel,9
Hyundai Elantra SX,Hyundai,2013,600000.0,20000.0,Petrol,8
Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,610000.0,35000.0,Diesel,8
Mahindra KUV100 K8 D 6 STR,Mahindra,2016,400000.0,20000.0,Diesel,5
Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel,6
Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel,8
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol,7
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol,6
Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel,9
Hyundai Grand i10,Hyundai,2017,524999.0,6821.0,Petrol,4
